TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,time_diff,location_change
469,34,0.03736091930062277,2024-11-04 08:06:23,0,29,395,188,99,2,0.6612903225806451,1,0.14827586206896554,0.0,0.6161343143726382,2023-02-13 16:39:52,0.0,1
2044,237,0.09815775073611799,2024-11-04 08:06:23,1,4,436,24,82,2,0.7903225806451613,2,0.05517241379310345,0.0,0.4749911606978411,2024-01-01 17:16:23,0.0,1
1252,455,0.1976600568048571,2024-11-04 08:06:23,0,16,648,25,39,1,0.3709677419354839,0,0.37241379310344824,0.0,0.8382555586775061,2023-01-03 17:14:14,0.0,1
35,263,0.06488261198113453,2024-11-04 08:06:23,1,39,41,479,1,1,0.5,1,0.1206896551724138,0.0,0.3806929475140387,2023-10-16 16:32:56,0.0,1
2157,153,0.10784584516767855,2024-11-04 08:06:23,1,8,586,340,27,2,0.6774193548387097,1,0.4241379310344827,0.0,0.5371936324759323,2024-01-01 16:12:32,0.0,1
2107,188,0.02414988143940381,2024-11-04 08:06:23,1,11,28,135,59,2,0.5967741935483871,0,0.2,0.0,0.09825069201989148,2023-08-30 17:54:55,0.0,1
2423,336,0.17291606952080674,2024-11-04 08:06:23,1,39,353,582,85,0,0.1774193548387097,0,0.7275862068965517,0.75,0.7881612503814681,2023-06-21 16:38:54,0.0,1
1249,378,0.1334340881257003,2024-11-04 08:06:23,1,27,97,91,65,2,0.5645161290322581,2,0.5586206896551724,0.0,0.27571900833112634,2023-04-05 16:21:59,0.0,1
1913,286,0.021716132058264063,2024-11-04 08:06:24,1,14,582,334,54,0,0.4838709677419355,1,0.43448275862068964,0.0,0.33475143075700725,2023-02-13 16:44:18,1.0,1
2114,422,0.4827214216848633,2024-11-04 08:06:24,1,25,285,134,63,0,0.6290322580645161,1,0.33448275862068966,0.0,0.2029241621484277,2023-11-24 17:24:24,0.0,1
707,437,0.10953956797039892,2024-11-04 08:06:24,1,19,530,123,10,0,0.14516129032258068,3,0.4689655172413793,0.0,0.07671304331459716,2023-12-11 16:47:05,0.0,1
2204,353,0.24728874065195297,2024-11-04 08:06:24,1,4,160,499,37,2,0.4516129032258065,1,0.9448275862068966,0.0,0.5641881218600313,2023-10-06 18:26:45,0.0,1
1087,326,0.20153216770461477,2024-11-04 08:06:24,1,33,312,23,97,1,0.6451612903225806,2,0.4379310344827586,0.0,0.11932049629152625,2023-01-31 16:51:55,0.0,1
1558,475,0.3433775438413633,2024-11-04 08:06:24,1,4,197,528,13,0,0.06451612903225812,3,0.6689655172413793,0.0,0.07665254618955497,2023-01-31 16:02:23,0.0,1
1166,173,0.16129973682153373,2024-11-04 08:06:24,0,35,369,419,9,2,0.7903225806451613,2,0.4379310344827586,0.0,0.28748838791294334,2023-05-08 16:31:56,0.0,1
256,71,0.09711024832582014,2024-11-04 08:06:24,1,42,147,459,36,2,0.6451612903225806,0,0.010344827586206896,0.0,0.09460876509235223,2023-07-04 16:27:23,0.0,1
1908,451,0.2576543242046017,2024-11-04 08:06:25,1,15,483,91,8,2,0.24193548387096775,0,0.3448275862068965,0.0,0.36504503002673977,2023-06-19 16:59:35,1.0,1
60,433,0.2961461291919639,2024-11-04 08:06:25,1,16,227,376,93,0,0.4516129032258065,1,0.489655172413793,0.0,0.3628926767557946,2023-10-06 18:44:37,0.0,1
1694,388,0.20417958673163614,2024-11-04 08:06:25,1,10,396,393,98,0,0.6774193548387097,1,0.5586206896551724,0.0,0.28786145351737,2023-06-19 16:32:01,0.0,1
433,470,0.04434426870260833,2024-11-04 08:06:25,1,42,497,10,73,0,0.7741935483870968,2,0.5379310344827587,0.0,0.13931210735685376,2023-07-05 16:08:25,0.0,1
1250,322,0.042056440055241416,2024-11-04 08:06:25,0,17,175,543,77,2,0.016129032258064557,3,0.3,0.0,0.05772030700274389,2023-09-27 17:47:10,0.0,1
709,457,0.051853975037131614,2024-11-04 08:06:26,1,34,484,411,38,1,0.12903225806451613,3,0.41724137931034483,0.0,0.021217013942570754,2023-08-07 16:21:37,1.0,1
513,464,0.03403601115251322,2024-11-04 08:06:26,1,24,629,0,38,2,0.3709677419354839,1,0.2482758620689655,0.0,0.49826373251128947,2023-04-06 17:24:16,0.0,1
1589,33,0.03680329363941944,2024-11-04 08:06:26,0,29,304,208,86,1,0.903225806451613,2,0.5724137931034483,0.0,0.11382870171825281,2023-12-04 16:18:39,0.0,1
276,398,0.08696875732860826,2024-11-04 08:06:26,1,10,225,78,48,2,0.935483870967742,2,0.034482758620689655,0.0,0.253851314199213,2023-04-24 18:33:29,0.0,1
494,492,0.3437944602235714,2024-11-04 08:06:26,1,11,645,581,43,2,0.6774193548387097,1,0.3586206896551724,0.0,0.25720957682933226,2023-09-20 16:59:45,0.0,1
1893,373,0.0022513484639237044,2024-11-04 08:06:26,0,1,158,565,98,2,0.04838709677419356,3,0.43103448275862066,0.0,0.047724837565219266,2023-10-19 16:13:30,0.0,1
1998,231,0.03182635432681033,2024-11-04 08:06:27,1,33,196,203,17,0,0.14516129032258068,1,0.4103448275862069,0.0,0.49985077375822934,2023-09-20 18:18:00,1.0,1
1274,393,0.6040753576360841,2024-11-04 08:06:27,1,28,285,219,90,2,0.3709677419354839,0,0.4827586206896552,0.0,0.4300861613498656,2023-10-12 16:29:49,0.0,1
910,448,0.12167704614743205,2024-11-04 08:06:27,1,4,358,483,55,2,0.8709677419354838,2,0.4551724137931034,0.0,0.3124535348470162,2023-02-13 16:43:40,0.0,1
1823,135,0.016223258722672433,2024-11-04 08:06:27,1,40,208,247,67,0,0.03225806451612906,3,0.017241379310344827,0.0,0.06031160052538394,2023-01-09 17:09:31,0.0,1
2200,217,0.03565677358834719,2024-11-04 08:06:27,1,34,350,282,93,2,0.5,1,0.45172413793103444,0.0,0.31036772841361754,2023-09-18 16:15:19,0.0,1
1689,309,0.014201214268963182,2024-11-04 08:06:27,0,8,244,442,56,2,0.3548387096774194,0,0.32068965517241377,0.0,0.9104400560875568,2023-09-20 18:16:03,0.0,1
2267,411,0.7089715193996404,2024-11-04 08:06:27,1,33,16,192,91,1,0.1774193548387097,1,0.37241379310344824,0.0,0.18555140440714837,2023-04-19 16:38:41,0.0,1
330,85,0.09481199676889802,2024-11-04 08:06:27,1,23,99,164,6,1,0.12903225806451613,3,0.14827586206896554,0.0,0.07225037205731902,2023-06-19 16:36:25,0.0,1
275,53,0.20138103551606432,2024-11-04 08:06:28,1,27,438,321,18,1,0.4516129032258065,0,0.4068965517241379,0.0,0.4545222945349586,2023-10-31 16:48:01,1.0,1
1800,207,0.16451520441931367,2024-11-04 08:06:28,1,29,97,564,91,0,0.967741935483871,2,0.2862068965517241,0.0,0.28048752616500655,2023-09-29 18:23:17,0.0,1
179,9,0.01767204315084556,2024-11-04 08:06:29,0,30,35,227,90,2,0.5806451612903226,1,0.15172413793103445,0.0,0.04203205809875013,2023-11-21 16:57:43,1.0,1
1494,140,0.013195403496886155,2024-11-04 08:06:29,1,29,82,279,47,0,0.6774193548387097,1,0.5379310344827587,0.0,0.44634509980009063,2023-11-16 16:33:22,0.0,1
807,312,0.3483388487896396,2024-11-04 08:06:29,1,11,662,243,18,2,0.4193548387096775,0,0.4586206896551724,0.75,0.8970755689754611,2023-11-07 17:38:05,0.0,1
1044,314,0.05682570289496312,2024-11-04 08:06:29,1,13,5,574,19,1,0.6129032258064516,0,0.058620689655172406,0.0,0.9013305334367612,2023-08-02 16:52:15,0.0,1
1413,400,0.1888735440498215,2024-11-04 08:06:30,0,24,272,217,13,0,0.7258064516129032,2,0.4379310344827586,0.0,0.13037264884645428,2023-01-16 18:02:19,1.0,1
159,486,0.0147327826562785,2024-11-04 08:06:30,1,42,300,343,34,2,0.7096774193548387,0,0.30689655172413793,0.0,0.5760186707571687,2023-05-31 16:37:39,0.0,1
114,332,0.17072725851421425,2024-11-04 08:06:30,1,14,635,251,50,2,0.3548387096774194,1,0.32413793103448274,0.0,0.025469961833036004,2023-02-10 16:52:48,0.0,1
675,282,0.006910389035099148,2024-11-04 08:06:30,1,39,567,202,0,0,0.12903225806451613,3,0.1896551724137931,0.0,0.010655560290762627,2023-05-15 16:51:28,0.0,1
172,243,0.09220626938009745,2024-11-04 08:06:30,1,6,646,87,87,2,0.935483870967742,2,0.11379310344827585,0.0,0.3523655048081771,2023-05-15 17:25:28,0.0,1
118,83,0.21230945618469393,2024-11-04 08:06:30,1,4,527,589,40,2,0.12903225806451613,1,0.17931034482758618,0.0,0.5542470998350445,2023-07-07 16:11:38,0.0,1
2252,473,0.12315188784949317,2024-11-04 08:06:31,1,34,636,219,22,0,0.9838709677419355,2,0.35172413793103446,0.0,0.22770580113653935,2023-09-01 17:51:34,1.0,1
2306,483,0.10883081012064517,2024-11-04 08:06:31,1,41,57,510,90,0,0.4838709677419355,0,0.6655172413793103,0.0,0.6049416740495566,2023-11-07 18:44:46,0.0,1
