TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,time_diff,location_change,Hour,Day,DayOfWeek,high_amount_flag,many_login_attempts_flag,long_time_diff_flag,amount_to_balance_ratio,amount_exceeds_balance,suspicious_merchant_flag,reactivation_suspect_flag,duration_suspicious_flag,age_balance_anomaly_flag,strong_anomaly_label
469,34,0.0373609193006227,2024-11-04 08:06:23,0,29,395,188,99,2,0.6612903225806451,1,0.1482758620689655,0.0,0.6161343143726382,2023-02-13 16:39:52,0.0,1,8,4,0,0,0,0,0.06063663727655073,0,0,0,0,0,0
2044,237,0.0981577507361179,2024-11-04 08:06:23,1,4,436,24,82,2,0.7903225806451613,2,0.0551724137931034,0.0,0.4749911606978411,2024-01-01 17:16:23,0.0,1,8,4,0,0,0,0,0.20664739132828824,0,0,0,0,0,0
1252,455,0.1976600568048571,2024-11-04 08:06:23,0,16,648,25,39,1,0.3709677419354839,0,0.3724137931034482,0.0,0.8382555586775061,2023-01-03 17:14:14,0.0,1,8,4,0,0,0,0,0.23579646659549808,0,0,0,0,0,0
35,263,0.0648826119811345,2024-11-04 08:06:23,1,39,41,479,1,1,0.5,1,0.1206896551724138,0.0,0.3806929475140387,2023-10-16 16:32:56,0.0,1,8,4,0,0,0,0,0.17042844665325818,0,0,0,0,0,0
2157,153,0.1078458451676785,2024-11-04 08:06:23,1,8,586,340,27,2,0.6774193548387097,1,0.4241379310344827,0.0,0.5371936324759323,2024-01-01 16:12:32,0.0,1,8,4,0,0,0,0,0.20075412496863598,0,1,0,0,0,1
2107,188,0.0241498814394038,2024-11-04 08:06:23,1,11,28,135,59,2,0.5967741935483871,0,0.2,0.0,0.0982506920198914,2023-08-30 17:54:55,0.0,1,8,4,0,0,0,0,0.24577357377571715,0,0,0,0,0,0
2423,336,0.1729160695208067,2024-11-04 08:06:23,1,39,353,582,85,0,0.1774193548387097,0,0.7275862068965517,0.75,0.7881612503814681,2023-06-21 16:38:54,0.0,1,8,4,0,0,1,0,0.21938895822083948,0,0,0,0,1,1
1249,378,0.1334340881257003,2024-11-04 08:06:23,1,27,97,91,65,2,0.5645161290322581,2,0.5586206896551724,0.0,0.2757190083311263,2023-04-05 16:21:59,0.0,1,8,4,0,0,0,0,0.48393199153517313,0,1,0,0,0,1
1913,286,0.021716132058264,2024-11-04 08:06:24,1,14,582,334,54,0,0.4838709677419355,1,0.4344827586206896,0.0,0.3347514307570072,2023-02-13 16:44:18,1.0,1,8,4,0,0,0,0,0.06487047211250288,0,0,0,0,0,0
2114,422,0.4827214216848633,2024-11-04 08:06:24,1,25,285,134,63,0,0.6290322580645161,1,0.3344827586206896,0.0,0.2029241621484277,2023-11-24 17:24:24,0.0,1,8,4,0,1,0,0,2.3787095113724464,1,0,0,0,0,1
707,437,0.1095395679703989,2024-11-04 08:06:24,1,19,530,123,10,0,0.1451612903225806,3,0.4689655172413793,0.0,0.0767130433145971,2023-12-11 16:47:05,0.0,1,8,4,0,0,0,0,1.4277270978582026,1,0,0,0,0,1
2204,353,0.2472887406519529,2024-11-04 08:06:24,1,4,160,499,37,2,0.4516129032258065,1,0.9448275862068966,0.0,0.5641881218600313,2023-10-06 18:26:45,0.0,1,8,4,0,0,0,0,0.43830124750628174,0,0,0,1,0,0
1087,326,0.2015321677046147,2024-11-04 08:06:24,1,33,312,23,97,1,0.6451612903225806,2,0.4379310344827586,0.0,0.1193204962915262,2023-01-31 16:51:55,0.0,1,8,4,0,0,0,0,1.688857198852744,1,0,0,0,0,1
1558,475,0.3433775438413633,2024-11-04 08:06:24,1,4,197,528,13,0,0.0645161290322581,3,0.6689655172413793,0.0,0.0766525461895549,2023-01-31 16:02:23,0.0,1,8,4,0,0,0,0,4.47907825801053,1,1,0,0,0,1
1166,173,0.1612997368215337,2024-11-04 08:06:24,0,35,369,419,9,2,0.7903225806451613,2,0.4379310344827586,0.0,0.2874883879129433,2023-05-08 16:31:56,0.0,1,8,4,0,0,0,0,0.5610457087862923,0,0,0,0,0,0
256,71,0.0971102483258201,2024-11-04 08:06:24,1,42,147,459,36,2,0.6451612903225806,0,0.0103448275862068,0.0,0.0946087650923522,2023-07-04 16:27:23,0.0,1,8,4,0,0,0,0,1.0263318088228703,1,0,0,0,0,1
1908,451,0.2576543242046017,2024-11-04 08:06:25,1,15,483,91,8,2,0.2419354838709677,0,0.3448275862068965,0.0,0.3650450300267397,2023-06-19 16:59:35,1.0,1,8,4,0,0,0,0,0.7057958472335771,0,0,0,0,0,0
60,433,0.2961461291919639,2024-11-04 08:06:25,1,16,227,376,93,0,0.4516129032258065,1,0.489655172413793,0.0,0.3628926767557946,2023-10-06 18:44:37,0.0,1,8,4,0,0,0,0,0.8160483461830382,0,0,0,0,0,0
1694,388,0.2041795867316361,2024-11-04 08:06:25,1,10,396,393,98,0,0.6774193548387097,1,0.5586206896551724,0.0,0.28786145351737,2023-06-19 16:32:01,0.0,1,8,4,0,0,0,0,0.7092734768830283,0,0,0,0,0,0
433,470,0.0443442687026083,2024-11-04 08:06:25,1,42,497,10,73,0,0.7741935483870968,2,0.5379310344827587,0.0,0.1393121073568537,2023-07-05 16:08:25,0.0,1,8,4,0,0,0,0,0.3182859457403036,0,0,0,0,0,0
1250,322,0.0420564400552414,2024-11-04 08:06:25,0,17,175,543,77,2,0.0161290322580645,3,0.3,0.0,0.0577203070027438,2023-09-27 17:47:10,0.0,1,8,4,0,0,0,0,0.728498465342347,0,0,0,0,0,0
