TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,time_diff,location_change,Hour,Day,DayOfWeek,high_amount_flag,many_login_attempts_flag,amount_to_balance_ratio,amount_exceeds_balance,suspicious_merchant_flag,strong_anomaly_label,final_anomaly_flag
2157,153,0.1078458451676785,2024-11-04 08:06:23,1,8,586,340,27,2,0.6774193548387097,1,0.4241379310344827,0.0,0.5371936324759323,2024-01-01 16:12:32,0.0,1,8,4,0,0,0,0.2007541249686359,0,1,1,1
2423,336,0.1729160695208067,2024-11-04 08:06:23,1,39,353,582,85,0,0.1774193548387097,0,0.7275862068965517,0.75,0.7881612503814681,2023-06-21 16:38:54,0.0,1,8,4,0,0,1,0.2193889582208394,0,0,1,1
1249,378,0.1334340881257003,2024-11-04 08:06:23,1,27,97,91,65,2,0.5645161290322581,2,0.5586206896551724,0.0,0.2757190083311263,2023-04-05 16:21:59,0.0,1,8,4,0,0,0,0.4839319915351731,0,1,1,1
2114,422,0.4827214216848633,2024-11-04 08:06:24,1,25,285,134,63,0,0.6290322580645161,1,0.3344827586206896,0.0,0.2029241621484277,2023-11-24 17:24:24,0.0,1,8,4,0,1,0,2.3787095113724464,1,0,1,1
707,437,0.1095395679703989,2024-11-04 08:06:24,1,19,530,123,10,0,0.1451612903225806,3,0.4689655172413793,0.0,0.0767130433145971,2023-12-11 16:47:05,0.0,1,8,4,0,0,0,1.4277270978582026,1,0,1,1
1087,326,0.2015321677046147,2024-11-04 08:06:24,1,33,312,23,97,1,0.6451612903225806,2,0.4379310344827586,0.0,0.1193204962915262,2023-01-31 16:51:55,0.0,1,8,4,0,0,0,1.688857198852744,1,0,1,1
1558,475,0.3433775438413633,2024-11-04 08:06:24,1,4,197,528,13,0,0.0645161290322581,3,0.6689655172413793,0.0,0.0766525461895549,2023-01-31 16:02:23,0.0,1,8,4,0,0,0,4.47907825801053,1,1,1,1
256,71,0.0971102483258201,2024-11-04 08:06:24,1,42,147,459,36,2,0.6451612903225806,0,0.0103448275862068,0.0,0.0946087650923522,2023-07-04 16:27:23,0.0,1,8,4,0,0,0,1.0263318088228703,1,0,1,1
709,457,0.0518539750371316,2024-11-04 08:06:26,1,34,484,411,38,1,0.1290322580645161,3,0.4172413793103448,0.0,0.0212170139425707,2023-08-07 16:21:37,1.0,1,8,4,0,0,0,2.4428294614316264,1,0,1,1
494,492,0.3437944602235714,2024-11-04 08:06:26,1,11,645,581,43,2,0.6774193548387097,1,0.3586206896551724,0.0,0.2572095768293322,2023-09-20 16:59:45,0.0,1,8,4,0,0,0,1.3365796820810514,1,0,1,1
